artista,genero,bpm,duracion_seg,clave_musical,modo,instrumental,con_voz,colaboracion,artista_colaborador,fecha_lanzamiento,año,mes,estacion,tipo_lanzamiento,popularidad,reproducciones_previas,hit_viral,dia_semana,trimestre
Shawn Mendes,Clásica,75,282,8,1,1,0,0,,2010-07-28,2010,7,Verano,Album,1.0,2.0337642226834056,0,2,3
Zara Larsson,Techno,136,315,1,0,0,1,1,J Balvin,2010-07-29,2010,7,Verano,Album,1.0,1.0,0,3,3
Feid,Drill,101,105,7,1,1,0,0,,2010-07-31,2010,7,Verano,Single,1.0,10.153508690094828,0,5,3
Miley Cyrus,Blues,92,259,1,1,0,1,1,Post Malone,2010-08-01,2010,8,Verano,Album,1.0,1.0,0,6,3
Twenty One Pilots,Electrónica,119,527,4,0,0,1,0,,2010-08-02,2010,8,Verano,Single,1.0,12.13006749858284,0,0,3
Farruko,Experimental,100,496,4,1,0,1,0,,2010-08-07,2010,8,Verano,Single,1.0,24.49203272234822,0,5,3
Feid,Drill,148,146,1,1,0,1,0,,2010-08-09,2010,8,Verano,Single,1.0,0.9228700888057335,0,0,3
Demi Lovato,Metal,152,476,9,1,0,1,0,,2010-08-10,2010,8,Verano,Single,1.0,1.1524919971240422,0,1,3
Rosalía,Clásica,147,162,4,1,1,0,1,Manuel Turizo,2010-08-11,2010,8,Verano,Single,1.0,19.386070978844028,0,2,3
Shawn Mendes,Clásica,129,227,4,1,1,0,0,,2010-08-15,2010,8,Verano,Album,2.5070969382400174,1.5375398875511628,0,6,3
Kanye West,Soul,121,270,9,1,1,0,0,,2010-08-17,2010,8,Verano,Single,1.0,9.207361851209853,0,1,3
Sebastian Yatra,Pop Latino,112,353,1,0,0,1,1,Anitta,2010-08-23,2010,8,Verano,Single,1.0,11.946484226511368,0,0,3
Ariana Grande,Techno,127,237,7,0,1,0,0,,2010-08-28,2010,8,Verano,Album,1.0,7.363447822173735,0,5,3
Zara Larsson,Techno,112,263,10,0,0,1,1,Tini,2010-08-28,2010,8,Verano,Single,1.0,1.0,0,5,3
Blackpink,Latino,70,183,1,1,0,1,0,,2010-09-06,2010,9,Otoño,Album,1.0,1.0,0,0,3
Lil Uzi Vert,Funk,118,114,2,1,0,1,1,Ariana Grande,2010-09-08,2010,9,Otoño,Single,1.0,24.91647274503312,0,2,3
Maluma,Hip Hop,145,207,2,0,1,0,0,,2010-09-11,2010,9,Otoño,Single,1.0,10.863925152103695,0,5,3
Sebastian Yatra,Urbano,98,396,0,1,0,1,1,Sam Smith,2010-09-12,2010,9,Otoño,Album,1.0,0.7729308673794419,0,6,3
Justin Bieber,Synthwave,114,196,3,1,1,0,1,Twenty One Pilots,2010-09-13,2010,9,Otoño,Single,1.0,3.8964779428801863,0,0,3
Post Malone,Disco,100,393,2,0,0,1,1,Bad Bunny,2010-09-15,2010,9,Otoño,Single,1.0,8.798718526230461,0,2,3
Adele,Rock,131,291,1,1,0,1,1,Wisin & Yandel,2010-09-23,2010,9,Otoño,Single,9.327267915135902,5.120009517931239,0,3,3
Kendrick Lamar,Lofi,153,162,11,1,0,1,0,,2010-09-24,2010,9,Otoño,Album,98.15196790164259,1.0,0,4,3
Coldplay,Reggaeton,96,433,7,0,0,1,1,Lady Gaga,2010-09-28,2010,9,Otoño,Album,1.0,17.187534774081065,0,1,3
Juice WRLD,Trap,81,533,4,0,1,0,0,,2010-09-29,2010,9,Otoño,Single,1.0,18.48187715150033,0,2,3
Imagine Dragons,Blues,72,349,1,0,1,0,0,,2010-10-01,2010,10,Otoño,Album,87.26351808727449,5.811492923193252,0,4,4
Kendrick Lamar,Lofi,74,183,10,0,1,0,0,,2010-10-04,2010,10,Otoño,Album,1.0,83.60108199948584,0,0,4
Justin Bieber,Electrónica,126,204,5,1,0,1,1,Farruko,2010-10-05,2010,10,Otoño,Single,1.0,1.0,0,1,4
Post Malone,Disco,111,252,0,0,0,1,0,,2010-10-08,2010,10,Otoño,Album,1.0,1.2599391825000372,0,4,4
Wisin & Yandel,Rock,189,447,7,0,0,1,1,Daddy Yankee,2010-10-08,2010,10,Otoño,Single,1.0,7.4793284094552455,0,4,4
Lewis Capaldi,Punk,173,167,8,0,0,1,1,Katy Perry,2010-10-10,2010,10,Otoño,Single,8.088584517641234,5.946487963724878,0,6,4
Rihanna,Funk,125,187,1,1,0,1,0,,2010-10-11,2010,10,Otoño,Single,1.0,1.0,0,0,4
Charlie Puth,Funk,99,229,8,1,0,1,1,Lil Nas X,2010-10-14,2010,10,Otoño,Album,1.0,25.755059473477566,0,3,4
Blackpink,Latino,95,198,11,0,0,1,1,Megan Thee Stallion,2010-10-16,2010,10,Otoño,Album,1.0,13.32086589855025,0,5,4
Rosalía,Clásica,82,202,6,1,0,1,1,Shawn Mendes,2010-10-18,2010,10,Otoño,Single,1.0,1.0,0,0,4
Feid,Drill,153,202,6,1,0,1,0,,2010-10-20,2010,10,Otoño,Album,1.0,12.658688183972163,0,2,4
Lil Nas X,Indie,106,83,6,0,0,1,1,DaBaby,2010-10-20,2010,10,Otoño,Album,1.5158461906544443,25.509585742333147,0,2,4
Selena Gomez,Rap,127,78,2,0,0,1,0,,2010-10-22,2010,10,Otoño,Single,1.0,17.73147365637423,0,4,4
SZA,Techno,113,293,6,0,1,0,0,,2010-10-24,2010,10,Otoño,Album,1.0,24.36035220435745,0,6,4
Ariana Grande,Techno,176,261,1,1,0,1,0,,2010-10-26,2010,10,Otoño,Single,1.0,1.0,0,1,4
Rauw Alejandro,Country,80,133,2,0,0,1,0,,2010-10-29,2010,10,Otoño,Single,1.0,28.030196494815762,0,4,4
Dua Lipa,Urbano,70,293,9,0,0,1,0,,2010-11-08,2010,11,Otoño,Single,1.0,23.098402259686708,0,0,4
Ariana Grande,Techno,141,270,3,0,0,1,1,Tini,2010-11-10,2010,11,Otoño,Album,98.14397149114899,13.873974061371708,0,2,4
Zara Larsson,Techno,100,196,7,0,1,0,0,,2010-11-10,2010,11,Otoño,Album,1.0,1.0,0,2,4
Demi Lovato,Metal,169,248,7,1,1,0,0,,2010-11-15,2010,11,Otoño,Single,1.0,1.0,0,0,4
Doja Cat,Lofi,102,109,0,0,0,1,1,Selena Gomez,2010-11-15,2010,11,Otoño,Single,1.0123807440162111,1.00473913182895,0,0,4
Kanye West,Soul,90,188,11,0,0,1,1,Ed Sheeran,2010-11-15,2010,11,Otoño,Single,1.0,1.0,0,0,4
Nicki Minaj,Reggaeton,81,171,5,1,0,1,1,Lady Gaga,2010-11-16,2010,11,Otoño,Album,1.0,8.866706074903307,0,1,4
Nicky Jam,Experimental,157,247,8,1,1,0,1,DaBaby,2010-11-16,2010,11,Otoño,Single,1.0,21.883348600921227,0,1,4
Sam Smith,Funk,118,258,4,0,0,1,1,The Kid LAROI,2010-11-18,2010,11,Otoño,Album,1.0,8.24033886051928,0,3,4
Ozuna,Lofi,60,249,0,1,1,0,1,Don Omar,2010-11-22,2010,11,Otoño,Single,1.0,1.4299767317409529,0,0,4
Beyoncé,Hip Hop,63,215,2,0,0,1,0,,2010-11-23,2010,11,Otoño,Single,1.2925040990892578,17.568614106865418,0,1,4
Myke Towers,Reggaeton,86,231,7,0,0,1,1,Feid,2010-11-26,2010,11,Otoño,Single,1.0,18.79921076850169,0,4,4
BTS,House,151,169,4,1,0,1,1,Tini,2010-11-27,2010,11,Otoño,Single,1.0,7.283379849945305,0,5,4
Maluma,Hip Hop,85,208,8,1,0,1,1,Don Omar,2010-11-28,2010,11,Otoño,Album,1.0,5.08331517919061,0,6,4
María Becerra,Jazz,89,260,4,1,0,1,1,David Guetta,2010-12-01,2010,12,Invierno,Single,1.0,10.197717015527907,1,2,4
Justin Bieber,Techno,142,242,2,0,0,1,0,,2010-12-02,2010,12,Invierno,Single,82.02993211881889,1.0,0,3,4
Travis Scott,Metal,101,220,5,0,0,1,0,,2010-12-05,2010,12,Invierno,Album,1.0,18.406057221700472,0,6,4
Maroon 5,Flamenco,95,252,7,0,1,0,0,,2010-12-06,2010,12,Invierno,Single,1.0,0.08389286642649485,0,0,4
Billie Eilish,Reggaeton,75,123,0,1,1,0,0,,2010-12-08,2010,12,Invierno,Album,1.0,26.75427362168972,0,2,4
Beyoncé,Hip Hop,113,161,2,1,0,1,0,,2010-12-12,2010,12,Invierno,Single,1.0,1.2925040990892578,1,6,4
Doja Cat,Experimental,75,110,0,1,1,0,0,,2010-12-14,2010,12,Invierno,Single,1.0,1.0968409355392732,0,1,4
Miley Cyrus,Blues,101,291,8,1,0,1,1,Katy Perry,2010-12-16,2010,12,Invierno,Single,6.645144303439247,11.992182618790505,0,3,4
Coldplay,Blues,105,239,6,0,0,1,0,,2010-12-18,2010,12,Invierno,Single,1.0,1.0,0,5,4
Tini,Blues,70,199,3,0,0,1,0,,2010-12-18,2010,12,Invierno,Single,1.0,3.847190585944462,0,5,4
Maluma,Hip Hop,135,185,8,1,0,1,1,Travis Scott,2010-12-22,2010,12,Invierno,Album,1.0,1.0,0,2,4
María Becerra,Jazz,82,192,6,0,0,1,1,Wisin & Yandel,2010-12-22,2010,12,Invierno,Single,1.0,1.0,0,2,4
The Weeknd,Synthwave,62,419,5,1,0,1,0,,2010-12-24,2010,12,Invierno,Single,3.750254146499822,14.700274418368172,0,4,4
Anuel AA,Flamenco,60,264,7,0,0,1,0,,2010-12-25,2010,12,Invierno,Single,1.0,11.22277680060111,0,5,4
Calvin Harris,Folk,60,323,0,0,0,1,0,,2010-12-26,2010,12,Invierno,Single,1.0,14.442130425913097,0,6,4
Drake,Clásica,114,268,4,1,0,1,0,,2010-12-26,2010,12,Invierno,Single,1.0,11.437491587729989,0,6,4
Kanye West,Soul,78,190,2,0,0,1,0,,2010-12-27,2010,12,Invierno,Single,1.0,24.355585932362516,0,0,4
Martin Garrix,Pop,133,254,5,1,0,1,0,,2010-12-27,2010,12,Invierno,Single,1.0,15.253949855251362,0,0,4
Rihanna,Funk,93,93,0,1,0,1,0,,2010-12-28,2010,12,Invierno,Single,1.0,1.0,0,1,4
Lewis Capaldi,Punk,142,203,1,0,0,1,1,Miley Cyrus,2010-12-31,2010,12,Invierno,Single,1.0,8.088584517641234,0,4,4
Coldplay,Reggaeton,70,349,5,0,0,1,1,Demi Lovato,2011-01-01,2011,1,Invierno,Single,1.0,29.10842941716729,0,5,1
J Balvin,Techno,176,165,5,0,0,1,1,SZA,2011-01-01,2011,1,Invierno,Single,4.464830897749301,19.549048984942196,0,5,1
Manuel Turizo,Lofi,125,286,7,0,0,1,0,,2011-01-03,2011,1,Invierno,Single,1.0,1.2039360215788464,0,0,1
Lil Baby,Soul,124,306,7,0,0,1,1,Nicki Minaj,2011-01-04,2011,1,Invierno,Album,1.0,0.683357194810924,0,1,1
Martin Garrix,Country,140,241,10,0,0,1,1,Rosalía,2011-01-04,2011,1,Invierno,Single,1.0,26.53943336905483,0,1,1
María Becerra,Jazz,90,182,8,1,0,1,1,Cardi B,2011-01-07,2011,1,Invierno,Album,1.3761565804833769,20.336934516672518,1,4,1
David Guetta,Jazz,71,203,8,0,0,1,0,,2011-01-11,2011,1,Invierno,Album,1.0,23.23783425088646,1,1,1
Martin Garrix,Country,107,263,2,1,0,1,0,,2011-01-11,2011,1,Invierno,Single,1.0,9.930842004920203,0,1,1
Kanye West,Soul,106,178,6,1,0,1,1,Maluma,2011-01-12,2011,1,Invierno,Album,1.0,0.7083320126878079,0,2,1
Lil Baby,Soul,94,410,9,1,0,1,0,,2011-01-12,2011,1,Invierno,Single,1.9387070868596965,1.0,1,2,1
Lil Nas X,Metal,131,111,4,0,0,1,1,Tini,2011-01-13,2011,1,Invierno,Single,5.512490936079375,2.1934541962428353,0,3,1
Tini,Blues,121,221,7,1,0,1,0,,2011-01-14,2011,1,Invierno,Album,1.0,19.11529305006391,0,4,1
Karol G,Indie,130,297,3,1,1,0,0,,2011-01-15,2011,1,Invierno,Album,7.082400043232797,6.232596891773254,0,5,1
Maluma,Hip Hop,71,189,5,1,0,1,1,Travis Scott,2011-01-17,2011,1,Invierno,Single,1.0,0.9825035757205238,0,0,1
Camila Cabello,Disco,82,190,3,0,0,1,0,,2011-01-19,2011,1,Invierno,Single,1.0,14.839604383048325,0,2,1
Juice WRLD,Trap,123,255,1,0,0,1,1,Young Thug,2011-01-19,2011,1,Invierno,Album,1.0,1.0,0,2,1
Ozuna,Lofi,93,380,7,0,0,1,0,,2011-01-19,2011,1,Invierno,Album,1.0,4.059472970671301,0,2,1
Daddy Yankee,Indie,102,234,2,1,0,1,0,,2011-01-21,2011,1,Invierno,Single,1.0,5.9699620461816405,0,4,1
Rauw Alejandro,Country,111,186,6,1,0,1,0,,2011-01-21,2011,1,Invierno,Single,1.0,1.0,0,4,1
J Balvin,House,164,197,6,0,1,0,0,,2011-01-24,2011,1,Invierno,Single,1.0,3.53142208171718,0,0,1
Ed Sheeran,Metal,134,167,4,0,0,1,1,Zara Larsson,2011-01-25,2011,1,Invierno,Single,1.0,13.079924680193313,0,1,1
Lewis Capaldi,Latino,130,199,3,1,0,1,0,,2011-01-27,2011,1,Invierno,Single,1.0,2.6662542739547814,0,3,1
Alan Walker,Hip Hop,61,293,8,1,0,1,1,Maluma,2011-01-29,2011,1,Invierno,Album,1.0,9.05750898720742,0,5,1
Don Omar,Experimental,135,208,6,0,0,1,0,,2011-01-30,2011,1,Invierno,Album,9.675865933845456,2.5102172966456737,1,6,1
Manuel Turizo,Lofi,70,270,11,1,0,1,0,,2011-01-30,2011,1,Invierno,Single,89.0819506110939,27.70979821184381,0,6,1
Twenty One Pilots,Rock,154,397,11,1,0,1,0,,2011-01-30,2011,1,Invierno,Single,1.0,2.902148063889732,0,6,1
Katy Perry,Synthwave,105,270,4,1,0,1,1,The Weeknd,2011-01-31,2011,1,Invierno,Single,1.0,5.546597173123253,0,0,1
Sebastian Yatra,Pop Latino,96,192,7,0,1,0,0,,2011-01-31,2011,1,Invierno,Single,1.0,1.0656120940007716,0,0,1
Nicki Minaj,Reggaeton,98,263,1,1,0,1,1,Rauw Alejandro,2011-02-01,2011,2,Invierno,Single,1.0,0.9108130200568676,0,1,1
Zara Larsson,Rock,141,248,7,0,0,1,1,Wisin & Yandel,2011-02-01,2011,2,Invierno,Single,1.0,29.876801172969685,0,1,1
Lil Baby,Soul,99,294,11,1,0,1,0,,2011-02-03,2011,2,Invierno,Album,5.3836503563668225,1.4044001998907454,0,3,1
Rauw Alejandro,Country,89,176,7,0,0,1,0,,2011-02-04,2011,2,Invierno,Single,1.0,1.0,0,4,1
Bad Bunny,Metal,118,189,4,1,1,0,0,,2011-02-09,2011,2,Invierno,Single,16.82565888308665,3.0018562191140985,1,2,1
Cardi B,K-Pop,129,286,4,1,0,1,0,,2011-02-10,2011,2,Invierno,Single,1.0,2.8212999711534725,0,3,1
Miley Cyrus,Clásica,116,269,5,0,0,1,1,Rosalía,2011-02-10,2011,2,Invierno,Single,1.0,2.7738422974599377,0,3,1
Ozuna,Lofi,119,483,11,1,0,1,0,,2011-02-12,2011,2,Invierno,Single,1.0,1.0,0,5,1
Rosalía,Disco,137,251,9,0,0,1,0,,2011-02-15,2011,2,Invierno,Single,1.0,1.1808020566082256,0,1,1
Young Thug,Experimental,123,438,8,0,0,1,1,Bad Bunny,2011-02-19,2011,2,Invierno,Single,1.0,1.0,0,5,1
Selena Gomez,K-Pop,106,184,1,1,0,1,1,Lil Baby,2011-02-21,2011,2,Invierno,Album,1.0,19.17347136915625,0,0,1
The Weeknd,Synthwave,73,272,1,1,1,0,1,Megan Thee Stallion,2011-02-21,2011,2,Invierno,Single,4.466037412776443,2.9448984411930565,0,0,1
Migos,Indie,86,436,6,1,0,1,0,,2011-02-22,2011,2,Invierno,Album,7.729838932306822,15.667048411965126,0,1,1
Justin Bieber,Latino,135,233,2,0,0,1,1,Feid,2011-02-24,2011,2,Invierno,Album,1.0,41.285324323356306,1,3,1
Maluma,Flamenco,111,244,9,1,0,1,0,,2011-02-24,2011,2,Invierno,Album,1.0,1.0,0,3,1
Shawn Mendes,Clásica,83,274,1,1,1,0,1,BTS,2011-02-24,2011,2,Invierno,Single,7.041441277186143,1.9651805809465106,0,3,1
Jhayco,Rock,200,193,7,0,0,1,1,Zara Larsson,2011-03-01,2011,3,Primavera,Single,1.0,28.75001801118046,0,1,1
Wisin & Yandel,Rock,133,308,3,0,0,1,0,,2011-03-03,2011,3,Primavera,Album,1.0,0.846079974211061,0,3,1
Rosalía,Clásica,93,216,4,1,0,1,1,Myke Towers,2011-03-08,2011,3,Primavera,Single,1.874018149065094,1.0,0,1,1
Miley Cyrus,Blues,96,249,9,1,1,0,1,Camila Cabello,2011-03-11,2011,3,Primavera,Album,1.0,2.2532843719626525,0,4,1
Sam Smith,Funk,147,202,1,1,0,1,0,,2011-03-11,2011,3,Primavera,Single,1.0,11.490913885706664,0,4,1
Olivia Rodrigo,Pop Latino,74,171,6,1,0,1,1,Eminem,2011-03-12,2011,3,Primavera,Single,1.0,1.0,0,5,1
Rauw Alejandro,Country,133,243,11,0,1,0,0,,2011-03-13,2011,3,Primavera,Album,1.0,7.275692084065431,0,6,1
Charlie Puth,Funk,122,240,0,0,0,1,0,,2011-03-15,2011,3,Primavera,Single,1.0,1.0,0,1,1
Blackpink,Latino,85,447,10,0,0,1,0,,2011-03-16,2011,3,Primavera,Single,1.0,0.7984955696381127,0,2,1
Anitta,Dance,171,172,8,1,1,0,1,Juice WRLD,2011-03-17,2011,3,Primavera,Album,1.0,28.669165544306452,0,3,1
Billie Eilish,Reggaeton,108,230,10,1,0,1,0,,2011-03-18,2011,3,Primavera,Single,1.0,1.0,0,4,1
Kendrick Lamar,Lofi,60,183,2,0,0,1,1,Rihanna,2011-03-19,2011,3,Primavera,Single,87.97489700485232,47.26655903388677,0,5,1
Ozuna,Lofi,101,279,2,1,0,1,0,,2011-03-23,2011,3,Primavera,Single,1.0,14.820662075297765,0,2,1
Lil Nas X,Indie,131,89,9,1,1,0,0,,2011-03-25,2011,3,Primavera,Single,13.10211236767461,4.256537038329828,0,4,1
Katy Perry,Synthwave,101,267,4,1,0,1,1,Megan Thee Stallion,2011-03-26,2011,3,Primavera,Single,1.5747696893946634,1.0,1,5,1
Olivia Rodrigo,Experimental,83,397,9,0,0,1,0,,2011-03-26,2011,3,Primavera,Single,1.0,24.25382163958089,0,5,1
Shakira,Hip Hop,118,258,10,1,1,0,1,Billie Eilish,2011-03-29,2011,3,Primavera,Single,1.0,9.742660095566254,0,1,1
Farruko,Punk,135,352,2,1,0,1,0,,2011-03-30,2011,3,Primavera,Album,1.0,1.0,1,2,1
Megan Thee Stallion,Drill,153,207,4,1,0,1,0,,2011-03-30,2011,3,Primavera,Single,1.0,4.081367315180255,0,2,1
Rauw Alejandro,Country,124,212,3,1,0,1,0,,2011-04-02,2011,4,Primavera,Album,86.18849302469759,11.304081009061886,0,5,2
David Guetta,Alternativo,84,150,7,1,0,1,0,,2011-04-04,2011,4,Primavera,Single,1.0,0.8293867335493721,0,0,2
Paulo Londra,Urbano,111,192,6,0,0,1,1,Imagine Dragons,2011-04-04,2011,4,Primavera,Single,1.0,0.2827194904136865,0,0,2
Bruno Mars,Rap,151,218,1,0,0,1,1,Rosalía,2011-04-07,2011,4,Primavera,Single,1.0,10.243634307825513,0,3,2
The Kid LAROI,Latino,167,233,6,0,0,1,0,,2011-04-07,2011,4,Primavera,Album,1.3007435657460256,3.750860346438282,0,3,2
Billie Eilish,Rap,113,389,2,1,0,1,0,,2011-04-09,2011,4,Primavera,Single,1.0,1.0250863999410313,0,5,2
Ariana Grande,Techno,163,232,6,1,0,1,0,,2011-04-11,2011,4,Primavera,Album,1.0,17.598145245967384,0,0,2
Farruko,Punk,192,302,11,0,0,1,0,,2011-04-13,2011,4,Primavera,Single,1.0,4.2575061100540665,0,2,2
Lil Uzi Vert,Funk,101,272,1,0,0,1,0,,2011-04-14,2011,4,Primavera,Single,1.0,1.0,0,3,2
Alan Walker,Trap,134,223,3,0,0,1,0,,2011-04-22,2011,4,Primavera,Single,1.0,0.8506219234206499,0,4,2
Rihanna,Funk,97,116,10,1,0,1,0,,2011-04-22,2011,4,Primavera,Single,1.0,1.0,0,4,2
SZA,Techno,187,180,2,1,0,1,1,Daddy Yankee,2011-04-23,2011,4,Primavera,Single,1.0,1.0,1,5,2
Eminem,Experimental,101,292,6,0,0,1,0,,2011-04-24,2011,4,Primavera,Single,1.0,7.315651522115062,0,6,2
Harry Styles,Punk,124,231,4,1,0,1,0,,2011-04-27,2011,4,Primavera,Single,1.0,6.971725748463491,0,2,2
Maroon 5,Flamenco,101,353,8,0,0,1,0,,2011-04-28,2011,4,Primavera,Single,1.0,23.978684644782955,0,3,2
Bruno Mars,Rap,112,167,10,0,0,1,1,Karol G,2011-04-29,2011,4,Primavera,Album,1.0,1.1322024193040745,0,4,2
Cardi B,K-Pop,111,392,3,1,0,1,0,,2011-04-29,2011,4,Primavera,Single,1.0,3.4972517694153438,0,4,2
Justin Bieber,Electrónica,156,242,4,1,0,1,1,Lewis Capaldi,2011-05-02,2011,5,Primavera,Single,1.0,21.719330834045724,0,0,2
María Becerra,Jazz,104,240,9,0,1,0,0,,2011-05-02,2011,5,Primavera,Single,1.0,17.082133652565943,0,0,2
Don Omar,Experimental,140,189,4,1,1,0,1,Lewis Capaldi,2011-05-04,2011,5,Primavera,Single,1.0,22.701555430874883,0,2,2
Anuel AA,Flamenco,117,343,5,0,0,1,0,,2011-05-08,2011,5,Primavera,Single,1.0,1.0,0,6,2
Eminem,Experimental,80,286,0,0,1,0,0,,2011-05-09,2011,5,Primavera,Single,1.0,0.9530260762767818,0,0,2
Juice WRLD,Trap,150,489,4,0,0,1,1,Miley Cyrus,2011-05-09,2011,5,Primavera,Single,1.0,1.0,0,0,2
Taylor Swift,Funk,66,273,5,0,0,1,0,,2011-05-11,2011,5,Primavera,Album,1.0,25.66263390066857,0,2,2
Calvin Harris,Folk,89,184,8,0,0,1,0,,2011-05-12,2011,5,Primavera,Single,1.0,1.0,0,3,2
Demi Lovato,Metal,188,350,11,0,0,1,1,Travis Scott,2011-05-12,2011,5,Primavera,Album,1.0,28.861987436647716,0,3,2
Migos,Indie,89,462,11,0,0,1,1,J Balvin,2011-05-12,2011,5,Primavera,Single,1.0,7.729838932306822,0,3,2
BTS,Trap,125,151,11,0,0,1,0,,2011-05-14,2011,5,Primavera,Single,1.0,1.0,0,5,2
Coldplay,Reggaeton,102,333,8,1,0,1,1,Charlie Puth,2011-05-17,2011,5,Primavera,Single,1.0,21.55773667394673,0,1,2
Feid,Drill,122,214,7,1,0,1,1,Demi Lovato,2011-05-18,2011,5,Primavera,Single,1.0,0.7764765932047575,1,2,2
Miley Cyrus,Blues,102,242,1,0,0,1,1,Megan Thee Stallion,2011-05-18,2011,5,Primavera,Album,1.0,1.9844792628034775,0,2,2
Peso Pluma,Punk,121,434,7,1,0,1,1,Twenty One Pilots,2011-05-21,2011,5,Primavera,Album,1.0,24.2944563282214,0,5,2
Manuel Turizo,Lofi,130,184,11,1,0,1,0,,2011-05-22,2011,5,Primavera,Single,1.0,27.920059179019496,0,6,2
Imagine Dragons,Blues,106,231,3,0,1,0,0,,2011-05-23,2011,5,Primavera,Album,1.0,0.9541633824753737,0,0,2
Billie Eilish,Reggaeton,112,102,4,1,1,0,0,,2011-05-25,2011,5,Primavera,Single,1.0,12.300262363651912,0,2,2
Lady Gaga,Reggaeton,107,146,2,0,0,1,1,Nicki Minaj,2011-05-26,2011,5,Primavera,Single,1.0,27.97826447760515,0,3,2
Adele,R&B,125,196,0,1,0,1,1,Camila Cabello,2011-05-30,2011,5,Primavera,Single,1.0,7.233636204696753,0,0,2
Maluma,Hip Hop,93,181,8,1,0,1,1,Farruko,2011-05-30,2011,5,Primavera,Single,1.0,1.0297624113521437,0,0,2
Paulo Londra,Urbano,87,297,10,0,0,1,1,Nicki Minaj,2011-06-02,2011,6,Verano,Single,1.0,1.0,0,3,2
Coldplay,Rock,90,238,10,0,1,0,1,Charlie Puth,2011-06-03,2011,6,Verano,Single,1.0,1.2019518013206785,0,4,2
Shawn Mendes,Clásica,63,314,8,0,0,1,1,Feid,2011-06-03,2011,6,Verano,Single,4.349364396967848,14.332566579607144,0,4,2
