artista,genero,bpm,duracion_seg,clave_musical,modo,instrumental,con_voz,colaboracion,artista_colaborador,fecha_lanzamiento,año,mes,dia_semana,estacion,tipo_lanzamiento,calidad_intrinseca,popularidad,categoria_popularidad,exito,hit_viral
Miley Cyrus,Metal,98,178,11,0,0,1,0,,2010-07-19,2010,7,0,Verano,Single,36,29.95,Baja,0,0
Halsey,Synthwave,101,237,7,0,1,0,0,,2010-07-22,2010,7,3,Verano,Single,61,43.99,Media,0,0
Sam Smith,Funk,109,226,4,1,0,1,0,,2010-07-25,2010,7,6,Verano,Album,37,23.66,Baja,0,0
DaBaby,Synthwave,106,177,8,1,1,0,0,,2010-07-31,2010,7,5,Verano,Single,48,18.36,Baja,0,0
SZA,Electrónica,119,260,8,1,0,1,1,Paulo Londra,2010-07-31,2010,7,5,Verano,Single,72,22.36,Baja,0,0
Ozuna,Drill,127,194,8,1,0,1,0,,2010-08-03,2010,8,1,Verano,Single,47,37.82,Media,0,0
Feid,Blues,104,218,10,1,0,1,0,,2010-08-16,2010,8,0,Verano,Single,47,24.77,Baja,0,0
Drake,Blues,104,218,9,0,0,1,1,Wisin & Yandel,2010-08-18,2010,8,2,Verano,Single,32,23.5,Baja,0,0
Lil Nas X,Blues,111,205,3,1,0,1,0,,2010-08-25,2010,8,2,Verano,Album,43,23.16,Baja,0,0
Bruno Mars,Tropical,90,274,6,0,0,1,1,Anuel AA,2010-08-31,2010,8,1,Verano,Album,78,54.83,Media,1,0
Shawn Mendes,Experimental,95,218,7,0,0,1,0,,2010-09-04,2010,9,5,Otoño,Single,62,23.69,Baja,0,0
Young Thug,Alternativo,108,129,2,1,0,1,1,Adele,2010-09-04,2010,9,5,Otoño,Album,84,55.81,Media,1,0
Beyoncé,Pop Latino,122,166,4,1,1,0,1,Peso Pluma,2010-09-06,2010,9,0,Otoño,Single,46,32.89,Media,0,0
Drake,Metal,121,278,9,0,0,1,0,,2010-09-06,2010,9,0,Otoño,Single,61,18.89,Baja,0,0
Ozuna,Pop Latino,90,235,1,0,0,1,0,,2010-09-06,2010,9,0,Otoño,Single,60,32.28,Media,0,0
Myke Towers,Soul,105,236,10,1,0,1,1,Kendrick Lamar,2010-09-08,2010,9,2,Otoño,Single,82,39.08,Media,0,0
Megan Thee Stallion,House,158,165,1,0,0,1,1,Peso Pluma,2010-09-14,2010,9,1,Otoño,Single,34,25.73,Baja,0,0
Bruno Mars,Urbano,90,264,8,1,0,1,1,Lil Nas X,2010-09-15,2010,9,2,Otoño,Single,61,39.7,Media,0,0
Rauw Alejandro,Experimental,112,215,10,1,0,1,0,,2010-09-17,2010,9,4,Otoño,Single,51,24.45,Baja,0,0
Miley Cyrus,Drill,128,222,5,1,0,1,0,,2010-09-21,2010,9,1,Otoño,Album,50,23.77,Baja,0,0
Charlie Puth,Drill,103,264,2,0,0,1,1,Billie Eilish,2010-09-22,2010,9,2,Otoño,Album,40,19.53,Baja,0,0
Adele,Electrónica,97,194,4,0,0,1,0,,2010-09-24,2010,9,4,Otoño,Single,70,27.84,Baja,0,0
Beyoncé,House,123,219,6,1,1,0,0,,2010-09-26,2010,9,6,Otoño,Album,73,36.15,Media,0,0
Sam Smith,Funk,98,178,5,0,0,1,1,Jack Harlow,2010-09-27,2010,9,0,Otoño,Single,68,23.61,Baja,0,0
Calvin Harris,Drill,105,187,6,1,0,1,1,Miley Cyrus,2010-10-02,2010,10,5,Otoño,Single,87,43.48,Media,0,0
Anitta,Punk,148,229,10,0,0,1,0,,2010-10-04,2010,10,0,Otoño,Album,37,24.58,Baja,0,0
Dua Lipa,Reggaeton,93,275,3,0,0,1,1,Kanye West,2010-10-05,2010,10,1,Otoño,Album,86,44.15,Media,0,0
Ed Sheeran,Hip Hop,162,212,8,1,0,1,0,,2010-10-05,2010,10,1,Otoño,Album,36,18.32,Baja,0,0
Feid,Trap,131,242,9,1,0,1,0,,2010-10-05,2010,10,1,Otoño,Single,68,27.13,Baja,0,0
Sebastian Yatra,Soul,107,238,7,0,1,0,0,,2010-10-05,2010,10,1,Otoño,Album,81,25.5,Baja,0,0
Adele,Tropical,78,176,3,1,0,1,0,,2010-10-08,2010,10,4,Otoño,Single,36,20.72,Baja,0,0
Paulo Londra,Techno,144,206,5,1,1,0,1,Doja Cat,2010-10-10,2010,10,6,Otoño,Album,54,19.61,Baja,0,0
Lil Uzi Vert,Indie,86,227,2,1,0,1,0,,2010-10-14,2010,10,3,Otoño,Single,63,23.86,Baja,0,0
Ed Sheeran,Punk,176,202,3,1,0,1,1,Migos,2010-10-16,2010,10,5,Otoño,Album,49,24.01,Baja,0,0
Karol G,Flamenco,104,226,1,0,0,1,1,Taylor Swift,2010-10-18,2010,10,0,Otoño,Single,51,26.64,Baja,0,0
Juice WRLD,Drill,103,203,4,0,1,0,1,Charlie Puth,2010-10-21,2010,10,3,Otoño,Album,63,75.92,Alta,1,1
Harry Styles,Funk,123,219,11,0,0,1,1,Farruko,2010-10-24,2010,10,6,Otoño,Album,86,26.72,Baja,0,0
BTS,Urbano,101,283,1,1,0,1,0,,2010-11-03,2010,11,2,Otoño,Album,64,19.56,Baja,0,0
Kendrick Lamar,K-Pop,113,211,2,0,0,1,0,,2010-11-04,2010,11,3,Otoño,Single,82,29.57,Baja,0,0
Twenty One Pilots,Experimental,75,259,8,0,0,1,1,Kanye West,2010-11-05,2010,11,4,Otoño,Single,35,20.98,Baja,0,0
David Guetta,Reggaeton,116,283,10,1,0,1,0,,2010-11-08,2010,11,0,Otoño,Album,44,26.12,Baja,0,0
The Weeknd,Techno,158,131,7,1,0,1,0,,2010-11-08,2010,11,0,Otoño,Single,83,19.94,Baja,0,0
Dua Lipa,Reggaeton,93,182,9,0,0,1,0,,2010-11-12,2010,11,4,Otoño,Single,93,45.72,Media,0,0
Megan Thee Stallion,Trap,141,170,4,0,0,1,0,,2010-11-15,2010,11,0,Otoño,Single,38,28.77,Baja,0,0
Twenty One Pilots,Indie,77,143,11,1,0,1,0,,2010-11-15,2010,11,0,Otoño,Single,49,19.45,Baja,0,0
Manuel Turizo,Pop Latino,113,158,0,1,1,0,0,,2010-11-16,2010,11,1,Otoño,Single,75,61.07,Media,1,1
María Becerra,Reggaeton,96,159,2,1,0,1,0,,2010-11-20,2010,11,5,Otoño,Single,75,31.24,Media,0,0
Anuel AA,Rap,77,197,7,1,0,1,0,,2010-11-21,2010,11,6,Otoño,Album,47,31.14,Media,0,0
Lil Baby,Reggaeton,102,204,8,0,0,1,0,,2010-11-21,2010,11,6,Otoño,Single,81,37.07,Media,0,0
Zara Larsson,R&B,83,180,2,1,0,1,1,Katy Perry,2010-11-24,2010,11,2,Otoño,Single,37,24.75,Baja,0,0
Billie Eilish,K-Pop,93,188,4,1,0,1,0,,2010-11-25,2010,11,3,Otoño,Single,74,32.25,Media,0,0
Tini,Reggaeton,100,245,2,0,1,0,1,Olivia Rodrigo,2010-11-26,2010,11,4,Otoño,Album,47,34.39,Media,0,0
Drake,Disco,88,243,9,0,0,1,0,,2010-12-03,2010,12,4,Invierno,Single,51,17.1,Baja,0,0
David Guetta,Country,129,282,9,1,0,1,0,,2010-12-05,2010,12,6,Invierno,Single,26,27.65,Baja,0,0
Imagine Dragons,Electrónica,138,256,5,0,0,1,0,,2010-12-07,2010,12,1,Invierno,Album,56,23.47,Baja,0,0
Megan Thee Stallion,House,136,174,3,1,0,1,0,,2010-12-10,2010,12,4,Invierno,Album,65,31.78,Media,0,0
Daddy Yankee,Indie,95,263,4,1,0,1,0,,2010-12-13,2010,12,0,Invierno,Single,77,29.63,Baja,0,0
Nicki Minaj,Flamenco,136,188,10,0,1,0,0,,2010-12-15,2010,12,2,Invierno,Single,50,18.13,Baja,0,0
Kanye West,Reggaeton,117,179,3,1,1,0,0,,2010-12-17,2010,12,4,Invierno,Single,55,18.01,Baja,0,0
Feid,Trap,120,213,4,1,0,1,0,,2010-12-18,2010,12,5,Invierno,Single,38,24.98,Baja,0,0
Rauw Alejandro,Techno,108,218,9,1,1,0,1,Paulo Londra,2010-12-19,2010,12,6,Invierno,Album,76,54.51,Media,1,1
Olivia Rodrigo,Reggaeton,95,163,11,1,0,1,0,,2010-12-21,2010,12,1,Invierno,Single,32,31.09,Media,0,0
Jack Harlow,R&B,75,161,11,1,0,1,0,,2010-12-25,2010,12,5,Invierno,Single,75,52.26,Media,1,0
David Guetta,Reggaeton,130,274,11,1,0,1,0,,2010-12-27,2010,12,0,Invierno,Album,39,30.54,Media,0,0
Bruno Mars,Urbano,85,191,6,0,0,1,0,,2010-12-28,2010,12,1,Invierno,Single,34,56.83,Media,1,1
Coldplay,Trap,72,232,10,0,0,1,1,Katy Perry,2010-12-29,2010,12,2,Invierno,Single,45,50.23,Media,1,0
Katy Perry,Lofi,94,272,7,0,1,0,0,,2010-12-29,2010,12,2,Invierno,Single,45,28.77,Baja,0,0
Blackpink,Hip Hop,94,252,3,1,0,1,0,,2010-12-30,2010,12,3,Invierno,Single,74,36.81,Media,0,0
Daddy Yankee,Pop,89,182,0,0,0,1,1,Young Thug,2010-12-30,2010,12,3,Invierno,Album,42,27.79,Baja,0,0
Anitta,Punk,176,225,10,1,0,1,0,,2011-01-04,2011,1,1,Invierno,Album,74,36.98,Media,0,0
Charlie Puth,Synthwave,109,228,10,1,1,0,0,,2011-01-05,2011,1,2,Invierno,Single,69,19.55,Baja,0,0
Imagine Dragons,Electrónica,128,251,2,1,1,0,0,,2011-01-05,2011,1,2,Invierno,Single,39,17.11,Baja,0,0
Tini,Dance,109,209,9,1,0,1,1,Calvin Harris,2011-01-06,2011,1,3,Invierno,Single,88,46.25,Media,0,0
Halsey,Synthwave,82,225,5,1,0,1,0,,2011-01-07,2011,1,4,Invierno,Single,51,40.26,Media,0,0
Martin Garrix,Electrónica,95,174,8,1,1,0,0,,2011-01-07,2011,1,4,Invierno,Single,74,29.96,Baja,0,0
The Kid LAROI,Synthwave,107,248,4,0,0,1,1,Lil Baby,2011-01-11,2011,1,1,Invierno,Single,49,23.61,Baja,0,0
Juice WRLD,House,101,209,5,0,0,1,1,Peso Pluma,2011-01-13,2011,1,3,Invierno,Album,84,40.86,Media,0,0
Rauw Alejandro,Punk,103,245,3,1,0,1,1,Jhayco,2011-01-13,2011,1,3,Invierno,Single,71,37.59,Media,0,0
Post Malone,Pop Latino,120,174,0,1,1,0,0,,2011-01-14,2011,1,4,Invierno,Single,72,29.09,Baja,0,0
BTS,Clásica,131,285,5,1,0,1,0,,2011-01-15,2011,1,5,Invierno,Single,75,19.14,Baja,0,0
Doja Cat,Flamenco,99,186,3,0,0,1,1,J Balvin,2011-01-16,2011,1,6,Invierno,Single,55,47.24,Media,0,1
Charlie Puth,Indie,102,254,5,1,0,1,1,Demi Lovato,2011-01-17,2011,1,0,Invierno,Single,44,24.88,Baja,0,0
Imagine Dragons,Electrónica,142,254,5,1,1,0,0,,2011-01-19,2011,1,2,Invierno,Single,65,25.46,Baja,0,0
SZA,Rap,88,202,7,0,0,1,1,Don Omar,2011-01-20,2011,1,3,Invierno,Single,70,20.03,Baja,0,0
Halsey,Soul,94,258,8,1,0,1,0,,2011-01-21,2011,1,4,Invierno,Album,74,44.81,Media,0,0
Demi Lovato,Techno,159,269,0,0,1,0,1,Katy Perry,2011-01-29,2011,1,5,Invierno,Single,81,32.66,Media,0,0
Paulo Londra,Hip Hop,129,223,1,1,0,1,1,Miley Cyrus,2011-01-29,2011,1,5,Invierno,Single,73,25.39,Baja,0,0
Billie Eilish,Country,106,199,10,1,0,1,1,Peso Pluma,2011-01-31,2011,1,0,Invierno,Album,60,71.73,Alta,1,1
Drake,Rap,90,235,5,0,0,1,1,Juice WRLD,2011-02-01,2011,2,1,Invierno,Album,62,22.44,Baja,0,0
Sam Smith,Funk,83,187,1,1,0,1,0,,2011-02-03,2011,2,3,Invierno,Single,38,17.67,Baja,0,0
Lil Nas X,Blues,110,213,11,0,0,1,1,Sebastian Yatra,2011-02-04,2011,2,4,Invierno,Single,36,26.72,Baja,0,0
María Becerra,Reggaeton,85,238,1,1,0,1,1,Tini,2011-02-04,2011,2,4,Invierno,Single,41,24.28,Baja,0,0
Lady Gaga,Pop Latino,163,181,8,0,0,1,1,Calvin Harris,2011-02-07,2011,2,0,Invierno,Single,34,21.85,Baja,0,0
DaBaby,Jazz,103,216,10,0,0,1,0,,2011-02-08,2011,2,1,Invierno,Album,31,14.43,Baja,0,0
Shakira,Blues,84,242,4,1,1,0,0,,2011-02-08,2011,2,1,Invierno,Single,85,36.65,Media,0,0
Shawn Mendes,R&B,80,186,4,0,0,1,0,,2011-02-08,2011,2,1,Invierno,Album,41,21.22,Baja,0,0
Calvin Harris,Drill,118,154,8,1,0,1,0,,2011-02-12,2011,2,5,Invierno,Single,60,28.27,Baja,0,0
The Kid LAROI,Folk,96,232,5,1,1,0,0,,2011-02-12,2011,2,5,Invierno,Single,70,22.03,Baja,0,0
Wisin & Yandel,Lofi,93,196,5,1,1,0,0,,2011-02-16,2011,2,2,Invierno,Single,57,20.62,Baja,0,0
Rauw Alejandro,Indie,108,226,3,0,0,1,0,,2011-02-17,2011,2,3,Invierno,Album,29,37.45,Media,0,1
Sebastian Yatra,Folk,84,246,1,1,0,1,0,,2011-02-23,2011,2,2,Invierno,Album,36,24.85,Baja,0,0
Taylor Swift,Flamenco,114,249,8,0,0,1,0,,2011-02-23,2011,2,2,Invierno,Single,59,35.77,Media,0,0
Nicky Jam,Clásica,118,258,5,1,1,0,0,,2011-02-24,2011,2,3,Invierno,Album,75,28.21,Baja,0,0
DaBaby,Dance,93,189,0,0,0,1,0,,2011-02-26,2011,2,5,Invierno,Single,53,19.26,Baja,0,0
Ariana Grande,Synthwave,121,242,1,0,1,0,1,Anuel AA,2011-02-27,2011,2,6,Invierno,Album,41,33.69,Media,0,0
Bad Bunny,Lofi,94,168,3,1,0,1,1,Tini,2011-02-27,2011,2,6,Invierno,Album,69,44.7,Media,0,0
Anuel AA,Punk,73,143,7,0,1,0,1,Anitta,2011-02-28,2011,2,0,Invierno,Album,67,44.62,Media,0,0
Katy Perry,R&B,117,293,5,1,0,1,0,,2011-02-28,2011,2,0,Invierno,Single,54,29.58,Baja,0,0
Camila Cabello,Country,108,212,7,0,0,1,0,,2011-03-03,2011,3,3,Primavera,Single,54,24.82,Baja,0,0
Lady Gaga,Rock,153,200,2,0,0,1,0,,2011-03-03,2011,3,3,Primavera,Album,88,36.59,Media,0,0
María Becerra,Reggaeton,103,231,4,0,0,1,0,,2011-03-04,2011,3,4,Primavera,Album,59,35.54,Media,0,0
David Guetta,Country,111,217,2,0,0,1,0,,2011-03-05,2011,3,5,Primavera,Album,74,40.19,Media,0,0
Alan Walker,Trap,109,204,6,0,0,1,1,Halsey,2011-03-07,2011,3,0,Primavera,Single,32,29.0,Baja,0,0
Lil Baby,Trap,104,278,6,0,0,1,0,,2011-03-07,2011,3,0,Primavera,Album,57,35.28,Media,0,0
Megan Thee Stallion,Electrónica,124,184,5,1,0,1,0,,2011-03-13,2011,3,6,Primavera,Album,72,35.93,Media,0,0
Harry Styles,Funk,91,156,10,0,0,1,0,,2011-03-16,2011,3,2,Primavera,Album,50,18.78,Baja,0,0
Juice WRLD,Urbano,106,177,4,1,0,1,1,Ariana Grande,2011-03-16,2011,3,2,Primavera,Album,50,49.78,Media,0,0
María Becerra,Latino,85,211,8,0,1,0,0,,2011-03-16,2011,3,2,Primavera,Single,59,29.11,Baja,0,0
Travis Scott,Tropical,122,190,11,1,0,1,0,,2011-03-16,2011,3,2,Primavera,Album,60,27.32,Baja,0,0
Olivia Rodrigo,Reggaeton,94,235,6,1,0,1,1,María Becerra,2011-03-17,2011,3,3,Primavera,Single,53,48.78,Media,0,0
Doja Cat,Flamenco,131,256,2,0,0,1,0,,2011-03-19,2011,3,5,Primavera,Single,75,30.26,Media,0,0
Twenty One Pilots,Jazz,96,168,2,1,0,1,0,,2011-03-24,2011,3,3,Primavera,Album,74,33.71,Media,0,0
Nicky Jam,Rock,164,225,11,1,1,0,0,,2011-03-28,2011,3,0,Primavera,Single,61,28.2,Baja,0,0
Ariana Grande,Latino,124,224,5,0,0,1,1,Paulo Londra,2011-03-30,2011,3,2,Primavera,Single,84,42.54,Media,0,0
Calvin Harris,Dance,124,164,8,1,0,1,0,,2011-03-30,2011,3,2,Primavera,Single,56,31.39,Media,0,0
Farruko,Funk,125,236,7,0,0,1,0,,2011-03-30,2011,3,2,Primavera,Single,32,25.01,Baja,0,0
Myke Towers,Flamenco,109,171,9,1,0,1,1,Doja Cat,2011-03-30,2011,3,2,Primavera,Album,37,28.01,Baja,0,0
David Guetta,Country,90,231,0,1,0,1,0,,2011-03-31,2011,3,3,Primavera,Album,80,37.6,Media,0,0
Young Thug,Alternativo,79,128,5,1,0,1,1,Shakira,2011-03-31,2011,3,3,Primavera,Single,46,51.24,Media,1,0
Beyoncé,House,122,160,6,1,0,1,0,,2011-04-02,2011,4,5,Primavera,Single,55,44.45,Media,0,0
Coldplay,R&B,103,210,1,1,1,0,0,,2011-04-03,2011,4,6,Primavera,Single,50,46.21,Media,0,0
Bruno Mars,Tropical,103,205,6,1,0,1,1,Lady Gaga,2011-04-04,2011,4,0,Primavera,Single,38,40.59,Media,0,0
Ed Sheeran,Punk,169,174,4,1,0,1,0,,2011-04-06,2011,4,2,Primavera,Album,57,22.54,Baja,0,0
Travis Scott,Tropical,83,272,11,0,0,1,0,,2011-04-07,2011,4,3,Primavera,Single,75,37.67,Media,0,0
Harry Styles,Funk,92,229,11,1,0,1,0,,2011-04-08,2011,4,4,Primavera,Single,41,16.72,Baja,0,0
Selena Gomez,Metal,151,193,0,0,0,1,0,,2011-04-09,2011,4,5,Primavera,Single,32,52.33,Media,1,1
Post Malone,Pop Latino,126,168,10,1,1,0,0,,2011-04-10,2011,4,6,Primavera,Single,42,26.15,Baja,0,0
Sam Smith,Trap,84,204,10,0,0,1,0,,2011-04-10,2011,4,6,Primavera,Single,58,22.35,Baja,0,0
Maroon 5,Rap,130,206,5,1,0,1,0,,2011-04-11,2011,4,0,Primavera,Single,62,43.91,Media,0,0
Alan Walker,Trap,88,231,9,0,0,1,1,Rihanna,2011-04-12,2011,4,1,Primavera,Single,26,24.03,Baja,0,0
Lil Uzi Vert,Soul,114,226,6,0,0,1,1,Doja Cat,2011-04-12,2011,4,1,Primavera,Single,69,31.5,Media,0,0
María Becerra,Reggaeton,96,215,2,1,0,1,0,,2011-04-15,2011,4,4,Primavera,Single,30,23.35,Baja,0,0
Tini,Reggaeton,104,176,7,1,0,1,0,,2011-04-17,2011,4,6,Primavera,Album,32,25.8,Baja,0,0
Don Omar,Funk,146,189,1,1,0,1,0,,2011-04-18,2011,4,0,Primavera,Album,40,24.33,Baja,0,0
David Guetta,Country,114,248,5,0,0,1,0,,2011-04-19,2011,4,1,Primavera,Album,45,30.1,Media,0,0
Lewis Capaldi,Pop Latino,102,239,6,1,0,1,0,,2011-04-20,2011,4,2,Primavera,Single,34,22.46,Baja,0,0
Justin Bieber,Blues,133,218,6,1,0,1,0,,2011-04-21,2011,4,3,Primavera,Single,50,28.91,Baja,0,0
Ozuna,Folk,113,222,7,0,0,1,1,Migos,2011-04-22,2011,4,4,Primavera,Album,50,43.2,Media,0,0
Rauw Alejandro,Indie,85,266,1,1,1,0,0,,2011-04-22,2011,4,4,Primavera,Single,62,38.61,Media,0,0
Twenty One Pilots,Reggaeton,93,186,4,1,0,1,0,,2011-04-24,2011,4,6,Primavera,Single,62,25.64,Baja,0,0
Jhayco,Country,155,237,7,0,1,0,0,,2011-04-27,2011,4,2,Primavera,Single,65,37.6,Media,0,0
Manuel Turizo,Urbano,94,195,4,0,0,1,1,BTS,2011-04-27,2011,4,2,Primavera,Single,80,39.03,Media,0,0
Charlie Puth,Drill,90,240,9,1,0,1,0,,2011-04-28,2011,4,3,Primavera,Single,43,21.79,Baja,0,0
BTS,Clásica,112,240,8,1,0,1,0,,2011-04-30,2011,4,5,Primavera,Single,50,21.64,Baja,0,0
Calvin Harris,Dance,114,184,10,0,0,1,0,,2011-04-30,2011,4,5,Primavera,Album,74,35.74,Media,0,0
Travis Scott,Tropical,106,181,5,1,0,1,0,,2011-04-30,2011,4,5,Primavera,Album,46,26.21,Baja,0,0
Beyoncé,Rock,129,230,9,0,0,1,0,,2011-05-02,2011,5,0,Primavera,Album,40,38.48,Media,0,0
Migos,Folk,122,247,10,0,0,1,0,,2011-05-03,2011,5,1,Primavera,Single,74,34.99,Media,0,0
Dua Lipa,Reggaeton,101,191,10,1,0,1,0,,2011-05-04,2011,5,2,Primavera,Single,35,33.06,Media,0,0
Billie Eilish,Country,122,249,11,1,0,1,0,,2011-05-07,2011,5,5,Primavera,Single,88,40.75,Media,0,0
Bad Bunny,Rap,101,215,2,1,0,1,0,,2011-05-09,2011,5,0,Primavera,Single,78,81.61,Alta,1,1
Alan Walker,K-Pop,113,263,2,1,0,1,1,Billie Eilish,2011-05-12,2011,5,3,Primavera,Single,90,42.0,Media,0,0
Calvin Harris,Dance,120,159,6,1,0,1,0,,2011-05-14,2011,5,5,Primavera,Single,77,40.03,Media,0,0
DaBaby,Experimental,97,182,1,1,0,1,0,,2011-05-15,2011,5,6,Primavera,Single,85,28.57,Baja,0,0
The Weeknd,Techno,147,157,6,1,0,1,0,,2011-05-15,2011,5,6,Primavera,Album,32,14.79,Baja,0,0
Zara Larsson,R&B,75,231,7,0,0,1,0,,2011-05-15,2011,5,6,Primavera,Single,56,30.5,Media,0,0
Rihanna,Trap,80,181,7,0,0,1,0,,2011-05-16,2011,5,0,Primavera,Single,73,21.41,Baja,0,0
Anitta,Punk,124,207,4,0,0,1,0,,2011-05-17,2011,5,1,Primavera,Album,39,32.98,Media,0,0
Megan Thee Stallion,Tropical,154,180,1,1,0,1,0,,2011-05-18,2011,5,2,Primavera,Single,90,41.3,Media,0,0
SZA,Rap,137,188,4,0,0,1,1,Maroon 5,2011-05-18,2011,5,2,Primavera,Album,55,32.49,Media,0,1
Miley Cyrus,Drill,109,202,10,0,0,1,0,,2011-05-19,2011,5,3,Primavera,Single,63,41.87,Media,0,0
Post Malone,Pop Latino,107,163,1,0,0,1,1,Lil Uzi Vert,2011-05-19,2011,5,3,Primavera,Album,79,32.11,Media,0,0
Kanye West,Reggaeton,85,158,11,0,0,1,1,SZA,2011-05-20,2011,5,4,Primavera,Album,67,23.17,Baja,0,0
María Becerra,Reggaeton,102,212,2,0,0,1,0,,2011-05-21,2011,5,5,Primavera,Album,54,35.28,Media,0,0
Karol G,Flamenco,88,233,2,1,0,1,0,,2011-05-22,2011,5,6,Primavera,Album,65,31.12,Media,0,0
Nicki Minaj,Electrónica,144,183,10,0,0,1,0,,2011-05-22,2011,5,6,Primavera,Single,27,21.83,Baja,0,0
Calvin Harris,Hip Hop,119,173,11,0,0,1,1,Bruno Mars,2011-05-24,2011,5,1,Primavera,Single,47,44.98,Media,0,0
Jack Harlow,R&B,95,149,3,1,0,1,0,,2011-05-25,2011,5,2,Primavera,Single,64,46.07,Media,0,0
Adele,Experimental,92,182,4,1,0,1,0,,2011-05-27,2011,5,4,Primavera,Single,29,26.75,Baja,0,0
Jhayco,Electrónica,126,257,10,1,1,0,0,,2011-05-27,2011,5,4,Primavera,Single,66,32.01,Media,0,0
Peso Pluma,Country,109,280,4,1,0,1,0,,2011-05-31,2011,5,1,Primavera,Album,72,31.86,Media,0,0
Shawn Mendes,Hip Hop,83,195,6,0,0,1,1,Paulo Londra,2011-06-04,2011,6,5,Verano,Single,56,43.15,Media,0,0
Blackpink,Reggaeton,107,228,10,0,1,0,1,David Guetta,2011-06-05,2011,6,6,Verano,Album,79,58.36,Media,1,0
Eminem,Lofi,105,190,2,1,0,1,0,,2011-06-05,2011,6,6,Verano,Album,57,30.23,Media,0,0
Kendrick Lamar,Metal,145,149,8,0,0,1,0,,2011-06-07,2011,6,1,Verano,Single,89,44.11,Media,0,0
DaBaby,Synthwave,104,262,0,1,1,0,1,Ariana Grande,2011-06-13,2011,6,0,Verano,Single,47,28.92,Baja,0,0
Billie Eilish,Country,92,185,10,1,0,1,0,,2011-06-14,2011,6,1,Verano,Single,69,49.07,Media,0,0
Feid,Blues,87,208,10,0,0,1,0,,2011-06-14,2011,6,1,Verano,Album,34,24.36,Baja,0,0
Drake,Metal,98,214,5,1,0,1,0,,2011-06-18,2011,6,5,Verano,Album,77,72.52,Alta,1,1
Selena Gomez,Metal,173,224,2,0,0,1,1,Miley Cyrus,2011-06-20,2011,6,0,Verano,Single,33,89.78,Alta,1,1
Post Malone,Pop Latino,100,225,6,0,0,1,0,,2011-06-21,2011,6,1,Verano,Single,87,36.18,Media,0,0
Kanye West,Lofi,105,143,8,1,1,0,0,,2011-06-22,2011,6,2,Verano,Single,38,22.27,Baja,0,0
Cardi B,Lofi,89,134,6,0,0,1,1,Ed Sheeran,2011-06-23,2011,6,3,Verano,Single,38,37.03,Media,0,0
Zara Larsson,R&B,103,247,0,1,0,1,0,,2011-06-23,2011,6,3,Verano,Album,73,60.7,Media,1,1
Don Omar,Punk,126,256,6,1,0,1,1,Peso Pluma,2011-06-24,2011,6,4,Verano,Single,48,40.23,Media,0,0
